appid,name,primary_genre,price_usd,release_year,reviews_total,log_reviews
5615,Delta Force Land Warrior,Action,9.99,2009.0,339.0,5.8289456176102075
5616,Delta Force: Task Force Dagger,Action,9.99,2009.0,166.0,5.117993812416755
5617,Delta Force: Xtreme,Action,19.99,2009.0,156.0,5.056245805348308
5618,Delta Force — Black Hawk Down: Team Sabre,Action,9.99,2009.0,506.0,6.2285110035911835
5620,F-16 Multirole Fighter,Simulation,9.99,2009.0,128.0,4.859812404361672
5621,F-22 Lightning 3,Simulation,9.99,2009.0,176.0,5.176149732573829
5623,Comanche 4,Action,9.99,2009.0,276.0,5.6240175061873385
5626,Tachyon: The Fringe,Simulation,9.99,2009.0,217.0,5.384495062789089
5627,Joint Operations: Combined Arms Gold,Action,19.99,2009.0,250.0,5.5254529391317835
5628,Restaurant Empire II,Casual,19.99,2009.0,285.0,5.655991810819852
5629,Alien Shooter,Action,4.99,2009.0,3645.0,8.201385955238608
5630,Alien Shooter: Revisited,Action,4.99,2009.0,624.0,6.437751649736401
5631,Alien Shooter 2: Reloaded,Action,4.99,2009.0,2314.0,7.747164966520335
5632,Zombie Shooter,Action,4.99,2009.0,839.0,6.733401891837359
5637,Zombie Shooter 2,Action,9.99,2009.0,509.0,6.234410725718371
5639,Tom Clancy's Splinter Cell Conviction™,Action,2.49,2010.0,4179.0,8.338066525518801
5640,Assassin's Creed 2,Action,19.99,2010.0,53206.0,10.881945245621354
5643,Prince of Persia: The Forgotten Sands™,Action,9.99,2010.0,2534.0,7.837948916025283
5646,From Dust,Adventure,14.99,2011.0,2715.0,7.906915488678587
5647,Tropico Reloaded,Simulation,6.99,2009.0,766.0,6.642486801367256
5650,Patrician III,RPG,4.99,2010.0,834.0,6.727431724850855
5652,Broken Sword 2 - the Smoking Mirror: Remastered (2010),Adventure,5.99,2009.0,1155.0,7.052721049232323
5653,Broken Sword 3 - the Sleeping Dragon (2003),Adventure,5.99,2009.0,699.0,6.551080335043404
5654,Crash Time 3,Action,5.99,2009.0,510.0,6.236369590203704
5655,Puzzler World,Casual,4.99,2010.0,321.0,5.7745515455444085
5657,Disciples III - Renaissance Steam Special Edition,RPG,3.99,2010.0,351.0,5.863631175598097
5658,eversion,Indie,4.99,2010.0,1075.0,6.98100574072173
5662,18 Wheels of Steel: Extreme Trucker,Simulation,9.99,2009.0,126.0,4.844187086458591
5665,Drakensang: The River of Time,RPG,19.99,2011.0,315.0,5.755742213586912
5666,Drakensang - Phileasson's Secret,RPG,9.99,2011.0,103.0,4.6443908991413725
5669,ARMA 2,Action,12.99,2009.0,454.0,6.12029741895095
5670,Arma 2: Operation Arrowhead,Action,19.99,2010.0,16099.0,9.686574550972555
5671,Arma 2: Army of the Czech Republic,Action,8.99,2012.0,178.0,5.187385805840755
5672,Fish Fillets 2,Casual,4.99,2010.0,107.0,4.68213122712422
5674,Pound of Ground,Action,9.99,2010.0,126.0,4.844187086458591
5675,Alternativa,Adventure,12.99,2010.0,195.0,5.278114659230517
5676,Alpha Protocol™,Action,19.99,2010.0,3319.0,8.107720061910534
5677,Total War: NAPOLEON – Definitive Edition,Strategy,24.99,2010.0,16748.0,9.72609383397847
5683,Sonic & SEGA All-Stars Racing,Racing,9.99,2010.0,2437.0,7.798933310041217
5686,Total War: SHOGUN 2,Strategy,29.99,2011.0,36029.0,10.492107203742139
5688,Total War: SHOGUN 2 - Rise of the Samurai Campaign,Strategy,9.99,2011.0,168.0,5.1298987149230735
5694,Death to Spies: Moment of Truth,Action,6.99,2009.0,398.0,5.988961416889864
5695,XIII Century – Gold Edition,Strategy,4.99,2009.0,112.0,4.727387818712341
5698,Order of War™,Strategy,7.99,2009.0,431.0,6.068425588244111
5706,Project Freedom,Action,2.99,2009.0,171.0,5.147494476813453
5707,Combat Wings: Battle of Britain,Simulation,4.99,2009.0,503.0,6.222576268071369
5708,Sniper: Ghost Warrior,Action,7.99,2010.0,5339.0,8.582980931954241
5710,Sniper: Ghost Warrior - Second Strike,Action,1.99,2011.0,103.0,4.6443908991413725
5711,Sniper: Ghost Warrior 2,Action,9.99,2013.0,13247.0,9.49160187662504
5713,Bad Rats: the Rats' Revenge,Indie,1.99,2009.0,7062.0,8.862625169408922
5715,Razor2: Hidden Skies,Action,7.99,2010.0,112.0,4.727387818712341
5717,Mini Ninjas,Action,9.99,2009.0,3505.0,8.16223106548118
5718,Batman: Arkham Asylum Game of the Year Edition,Action,19.99,2010.0,55079.0,10.916541952842591
5721,Flora's Fruit Farm,Casual,3.99,2009.0,151.0,5.0238805208462765
5728,Just Cause 2: Black Market Aerial Pack DLC,Action,1.99,2010.0,122.0,4.812184355372417
5731,Lara Croft and the Guardian of Light,Action,9.99,2010.0,3414.0,8.13593277200489
5738,Warfare,Strategy,12.99,2009.0,160.0,5.081404364984463
5739,Clutch,Action,9.99,2009.0,115.0,4.7535901911063645
5740,Insane 2,Racing,14.99,2012.0,225.0,5.420534999272286
5745,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Action,19.99,2011.0,24537.0,10.107978215351128
5746,The Ball,Action,9.99,2010.0,808.0,6.695798917058491
5747,Dwarfs!?,Casual,9.99,2011.0,629.0,6.4457198193855785
5752,Trine Enchanted Edition,Action,2.99,2009.0,12490.0,9.43276366396591
5754,Trine 2: Complete Story,Action,3.99,2013.0,15084.0,9.621456151593161
5756,Foreign Legion: Buckets of Blood,Action,3.99,2009.0,237.0,5.472270673671475
5763,The Void,Action,9.99,2009.0,894.0,6.796823718274855
5765,Chocolatier®: Decadence by Design™,Simulation,9.99,2009.0,271.0,5.605802066295998
5766,Cooking Dash®,Simulation,9.99,2009.0,119.0,4.787491742782046
5768,Diner Dash:® Hometown Hero™,Simulation,9.99,2009.0,321.0,5.7745515455444085
5769,Emerald City Confidential™,Adventure,9.99,2009.0,123.0,4.820281565605037
5782,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",Adventure,4.99,2009.0,456.0,6.124683390894205
5786,Windosill,Adventure,2.99,2009.0,671.0,6.51025834052315
5806,Farm Frenzy,Casual,4.99,2010.0,181.0,5.204006687076795
5807,Farm Frenzy 2,Casual,4.99,2010.0,186.0,5.231108616854587
5816,Roogoo,Casual,3.99,2009.0,232.0,5.4510384535657
5817,Hotel Giant 2,Casual,1.59,2010.0,258.0,5.556828061699537
5819,Fallout: A Post Nuclear Role Playing Game,RPG,2.49,2015.0,14942.0,9.611998241741393
5820,Fallout 2: A Post Nuclear Role Playing Game,RPG,2.49,2009.0,12638.0,9.444542550647126
5821,Fallout Tactics: Brotherhood of Steel,Strategy,2.49,2009.0,2154.0,7.675546002537848
5822,Kingpin — Life of Crime,Action,9.99,2009.0,425.0,6.054439346269371
5824,MDK,Action,9.99,2009.0,321.0,5.7745515455444085
5825,MDK 2,Action,9.99,2009.0,201.0,5.308267697401205
5827,Earthworm Jim 2,Action,19.99,2009.0,102.0,4.634728988229636
5829,Faerie Solitaire,Casual,14.99,2010.0,1351.0,7.20934025660291
5830,Toki Tori,Casual,4.99,2010.0,1613.0,7.3864708488298945
5832,RUSH,Casual,4.99,2010.0,1081.0,6.9865664594064265
5834,EDGE,Action,6.99,2011.0,1789.0,7.489970898834801
5845,SEASON OF MYSTERY: The Cherry Blossom Murders,Casual,4.99,2010.0,278.0,5.631211781821365
5847,FINAL FANTASY VII,RPG,11.99,2013.0,24949.0,10.124629101179664
5848,FINAL FANTASY VIII,RPG,11.99,2013.0,7617.0,8.938269147038548
5849,Dungeon Siege III,Action,14.99,2011.0,1940.0,7.57095858316901
5850,Dungeon Siege,RPG,6.99,2011.0,3621.0,8.19478163844336
5851,Dungeon Siege II,RPG,6.99,2005.0,2488.0,7.819636302367592
5852,FINAL FANTASY XIV Online,Massively Multiplayer,19.99,2014.0,75306.0,11.229328370954718
5863,Gothic® 3,Action,19.99,2009.0,8537.0,9.052282067317908
5864,Gothic II: Gold Edition,Action,19.99,2005.0,11326.0,9.334944535200714
5865,The Guild Gold Edition,Simulation,9.99,2014.0,514.0,6.244166900663736
5866,Painkiller: Black Edition,Action,9.99,2007.0,1749.0,7.4673710669175595
5867,SpellForce - Platinum Edition,Action,9.99,2009.0,2259.0,7.723120092266331
5869,Painkiller: Resurrection,Action,9.99,2009.0,495.0,6.206575926724928
5874,AquaNox,Action,4.99,2010.0,267.0,5.5909869805108565
5875,AquaNox 2: Revelation,Action,4.99,2010.0,200.0,5.303304908059076
5876,The Guild II,Simulation,9.99,2010.0,581.0,6.366470447731438
5877,The Guild II - Pirates of the European Seas,Simulation,9.99,2010.0,209.0,5.3471075307174685
5878,Chaser,Action,4.99,2010.0,1039.0,6.946975992135418
5879,The Guild II Renaissance,Simulation,9.99,2010.0,3332.0,8.11162807830774
5880,ArcaniA,RPG,19.99,2010.0,2141.0,7.669495251007694
5881,Nation Red,Action,2.99,2009.0,2186.0,7.690286020676768
5885,Supreme Commander 2,Strategy,12.99,2010.0,8070.0,8.996032669324372
5886,Supreme Commander 2: Infinite War Battle Pack,Strategy,4.99,2010.0,347.0,5.8522024797744745
5890,Risen,RPG,14.99,2009.0,7294.0,8.894944460956886
5894,Rush for Berlin Gold,Strategy,4.99,2009.0,152.0,5.030437921392435
5895,Secret Files: Tunguska,Adventure,9.99,2009.0,350.0,5.860786223465865
5896,Secret Files 2: Puritas Cordis,Adventure,9.99,2009.0,190.0,5.25227342804663
5897,Lost Horizon,Adventure,9.99,2010.0,430.0,6.066108090103747
5899,nail'd,Racing,1.59,2010.0,1038.0,6.946013991099227
5900,Risen 2: Dark Waters,RPG,9.99,2012.0,3281.0,8.096208271650037
5904,AI War: Fleet Command,Indie,9.75,2009.0,983.0,6.891625897052253
5909,Tidalis,Casual,4.99,2010.0,102.0,4.634728988229636
5912,Machinarium,Adventure,19.99,2009.0,15227.0,9.630891117502388
5915,Samorost 2,Adventure,4.99,2009.0,2094.0,7.647308832356238
5916,Super Meat Boy,Indie,14.99,2010.0,27220.0,10.211744013223518
5917,The Misadventures of P.B. Winterbottom,Adventure,4.99,2010.0,388.0,5.963579343618446
5918,Borderlands: Mad Moxxi's Underdome Riot,Action,29.99,2010.0,584.0,6.371611847231857
5921,Stronghold HD (2012),Simulation,5.99,2013.0,8366.0,9.032050676295599
5926,Stronghold Crusader HD (2012),Simulation,9.99,2013.0,16911.0,9.735778708110018
5927,Stronghold Legends: Steam Edition,Simulation,14.99,2016.0,2122.0,7.660585461703256
5928,Mafia,Action,4.94,2002.0,8509.0,9.04899722156742
5929,Serious Sam HD: The First Encounter,Action,14.99,2009.0,6819.0,8.827614750837508
5930,Serious Sam HD: The Second Encounter,Action,19.99,2010.0,678.0,6.520621127558696
5931,Serious Sam HD: The Second Encounter - Legend of the Beast,Action,4.99,2012.0,122.0,4.812184355372417
5933,Serious Sam Classic: The First Encounter,Action,5.99,2019.0,2800.0,7.937731775260109
5934,Serious Sam Classic: The Second Encounter,Action,5.99,2019.0,1632.0,7.398174092970465
5935,Serious Sam 3: BFE,Action,29.99,2011.0,21197.0,9.9616621165872
5936,Serious Sam 3: Jewel of the Nile,Action,9.99,2012.0,379.0,5.940171252720432
5943,Torchlight,RPG,14.99,2009.0,5216.0,8.559677803022392
5945,Earthworm Jim 3D,Action,19.99,2009.0,116.0,4.762173934797756
5950,S.T.A.L.K.E.R.: Call of Pripyat,Action,19.99,2010.0,24644.0,10.112329319139478
5952,Cargo! The Quest for Gravity,Action,9.99,2011.0,303.0,5.717027701406222
5954,Gratuitous Space Battles,Indie,14.99,2009.0,540.0,6.293419278846481
5962,The Bard's Tale ARPG: Remastered and Resnarkled,Action,16.79,2009.0,933.0,6.839476438228843
5964,Lead and Gold: Gangs of the Wild West,Action,9.99,2010.0,893.0,6.795705775173514
5965,Hamilton's Great Adventure,Adventure,9.99,2011.0,221.0,5.402677381872279
5967,Krater,Action,14.99,2012.0,661.0,6.495265555937008
5971,Nancy Drew®: Secrets Can Kill REMASTERED,Adventure,19.99,2011.0,310.0,5.739792912179234
5972,Nancy Drew®: The Captive Curse,Adventure,19.99,2011.0,210.0,5.351858133476067
5973,Nancy Drew®: Trail of the Twister,Adventure,14.99,2011.0,142.0,4.962844630259907
5974,DogFighter,Action,0.99,2010.0,213.0,5.365976015021851
5977,Singularity™,Action,29.99,2010.0,5240.0,8.564267598802166
5979,Call of Duty®: Modern Warfare® 3 (2011),Action,39.99,2011.0,14482.0,9.580730826800856
5984,Call of Duty®: Black Ops,Action,39.99,2010.0,20733.0,9.939530143883058
5985,Call of Duty®: Black Ops First Strike Content Pack,Action,14.99,2011.0,119.0,4.787491742782046
5986,Call of Duty®: Black Ops Escalation Content Pack,Action,14.99,2011.0,167.0,5.123963979403259
5987,Call of Duty®: Black Ops - Rezurrection Content Pack,Action,14.99,2011.0,431.0,6.068425588244111
5991,For The Glory: A Europa Universalis Game,Simulation,9.99,2009.0,139.0,4.941642422609304
5993,Arsenal of Democracy: A Hearts of Iron Game,Strategy,9.99,2010.0,326.0,5.7899601708972535
6030,Magicka,Action,30.0,2011.0,18813.0,9.842356552531896
6040,Magicka: Vietnam,Action,4.99,2011.0,116.0,4.762173934797756
6060,The Kings' Crusade,Strategy,9.99,2010.0,102.0,4.634728988229636
6129,Victoria II,Strategy,19.99,2010.0,16216.0,9.693815353719375
6230,Victoria I Complete,Strategy,9.99,2010.0,219.0,5.393627546352362
6250,Sword of the Stars II: Enhanced Edition,Strategy,19.99,2012.0,670.0,6.508769136971682
6260,Front Mission Evolved,Action,13.95,2010.0,699.0,6.551080335043404
